,region_id,city,place_type,date,confirmed
383,SAO PAULO SP,São Paulo,city,2020-03-20,358
78,RIO DE JANEIRO RJ,Rio de Janeiro,city,2020-03-22,168
26,BRASILIA DF,Brasília,city,2020-03-22,117
20,FORTALEZA CE,Fortaleza,city,2020-03-22,116
101,PORTO ALEGRE RS,Porto Alegre,city,2020-03-22,38
17,SALVADOR BA,Salvador,city,2020-03-22,33
62,CURITIBA PR,Curitiba,city,2020-03-22,31
163,BELO HORIZONTE MG,Belo Horizonte,city,2020-03-21,30
55,RECIFE PE,Recife,city,2020-03-22,28
44,CAMPO GRANDE MS,Campo Grande,city,2020-03-22,19
31,VILA VELHA ES,Vila Velha,city,2020-03-22,11
3,RIO BRANCO AC,Rio Branco,city,2020-03-22,11
37,GOIANIA GO,Goiânia,city,2020-03-22,11
32,VITORIA ES,Vitória,city,2020-03-22,11
116,FLORIANOPOLIS SC,Florianópolis,city,2020-03-22,10
76,NITEROI RJ,Niterói,city,2020-03-22,10
115,CRICIUMA SC,Criciúma,city,2020-03-22,7
15,PORTO SEGURO BA,Porto Seguro,city,2020-03-22,7
259,ARACAJU SE,Aracaju,city,2020-03-21,7
119,ITAJAI SC,Itajaí,city,2020-03-22,7
113,BRACO DO NORTE SC,Braço do Norte,city,2020-03-22,7
5,MACEIO AL,Maceió,city,2020-03-22,7
112,BLUMENAU SC,Blumenau,city,2020-03-22,6
111,BALNEARIO CAMBORIU SC,Balneário Camboriú,city,2020-03-22,6
211,NATAL RN,Natal,city,2020-03-21,6
57,TERESINA PI,Teresina,city,2020-03-22,6
12,FEIRA DE SANTANA BA,Feira de Santana,city,2020-03-22,6
128,TUBARAO SC,Tubarão,city,2020-03-22,6
19,AQUIRAZ CE,Aquiraz,city,2020-03-22,5
39,RIO VERDE GO,Rio Verde,city,2020-03-22,5
167,JUIZ DE FORA MG,Juiz de Fora,city,2020-03-21,4
63,FOZ DO IGUACU PR,Foz do Iguaçu,city,2020-03-22,4
379,SAO BERNARDO DO CAMPO SP,São Bernardo do Campo,city,2020-03-20,4
380,SAO CAETANO DO SUL SP,São Caetano do Sul,city,2020-03-20,4
122,JOINVILLE SC,Joinville,city,2020-03-22,4
60,CIANORTE PR,Cianorte,city,2020-03-22,4
169,NOVA LIMA MG,Nova Lima,city,2020-03-21,4
86,BAGE RS,Bagé,city,2020-03-22,3
77,PETROPOLIS RJ,Petrópolis,city,2020-03-22,3
66,LONDRINA PR,Londrina,city,2020-03-22,3
53,JABOATAO DOS GUARARAPES PE,Jaboatão dos Guararapes,city,2020-03-22,3
89,CANOAS RS,Canoas,city,2020-03-22,3
175,UBERLANDIA MG,Uberlândia,city,2020-03-21,3
95,ERECHIM RS,Erechim,city,2020-03-22,3
378,SANTO ANDRE SP,Santo André,city,2020-03-20,3
14,LAURO DE FREITAS BA,Lauro de Freitas,city,2020-03-22,3
127,SAO JOSE SC,São José,city,2020-03-22,3
174,UBERABA MG,Uberaba,city,2020-03-21,3
87,BENTO GONCALVES RS,Bento Gonçalves,city,2020-03-22,2
88,CAMPO BOM RS,Campo Bom,city,2020-03-22,2
91,CAXIAS DO SUL RS,Caxias do Sul,city,2020-03-22,2
103,SANTANA DO LIVRAMENTO RS,SantAna do Livramento,city,2020-03-22,2
85,ALVORADA RS,Alvorada,city,2020-03-22,2
83,BOA VISTA RR,Boa Vista,city,2020-03-22,2
81,PORTO VELHO RO,Porto Velho,city,2020-03-22,2
126,RANCHO QUEIMADO SC,Rancho Queimado,city,2020-03-22,2
106,SERAFINA CORREA RS,Serafina Corrêa,city,2020-03-22,2
212,PARNAMIRIM RN,Parnamirim,city,2020-03-21,2
2,PB,,state,2020-03-23,2
16,PRADO BA,Prado,city,2020-03-22,2
377,SANTANA DE PARNAIBA SP,Santana de Parnaíba,city,2020-03-20,2
118,IMBITUBA SC,Imbituba,city,2020-03-22,2
30,LINHARES ES,Linhares,city,2020-03-22,2
34,ANAPOLIS GO,Anápolis,city,2020-03-22,2
114,CHAPECO SC,Chapecó,city,2020-03-22,2
41,SAO LUIS MA,São Luís,city,2020-03-22,2
368,COTIA SP,Cotia,city,2020-03-20,2
100,LAJEADO RS,Lajeado,city,2020-03-22,2
367,CARAPICUIBA SP,Carapicuíba,city,2020-03-20,2
164,CORONEL FABRICIANO MG,Coronel Fabriciano,city,2020-03-21,2
363,PROPRIA SE,Propriá,city,2020-03-20,2
108,TORRES RS,Torres,city,2020-03-22,2
69,PINHAIS PR,Pinhais,city,2020-03-22,2
99,IVOTI RS,Ivoti,city,2020-03-22,2
165,DIVINOPOLIS MG,Divinópolis,city,2020-03-21,1
168,MARIANA MG,Mariana,city,2020-03-21,1
166,IPATINGA MG,Ipatinga,city,2020-03-21,1
0,IGARACY PB,Igaracy,city,2020-03-23,1
170,PATROCINIO MG,Patrocínio,city,2020-03-21,1
171,POCOS DE CALDAS MG,Poços de Caldas,city,2020-03-21,1
385,TAUBATE SP,Taubaté,city,2020-03-20,1
384,SUZANO SP,Suzano,city,2020-03-20,1
382,SAO JOSE DOS CAMPOS SP,São José dos Campos,city,2020-03-20,1
381,SAO JOSE DO RIO PRETO SP,São José do Rio Preto,city,2020-03-20,1
376,OSASCO SP,Osasco,city,2020-03-20,1
375,MOGI DAS CRUZES SP,Mogi das Cruzes,city,2020-03-20,1
374,MAUA SP,Mauá,city,2020-03-20,1
373,JAGUARIUNA SP,Jaguariúna,city,2020-03-20,1
371,HORTOLANDIA SP,Hortolândia,city,2020-03-20,1
370,GUARULHOS SP,Guarulhos,city,2020-03-20,1
369,FERRAZ DE VASCONCELOS SP,Ferraz de Vasconcelos,city,2020-03-20,1
366,CAMPINAS SP,Campinas,city,2020-03-20,1
365,BARUERI SP,Barueri,city,2020-03-20,1
317,CUIABA MT,Cuiabá,city,2020-03-20,1
125,POMERODE SC,Pomerode,city,2020-03-22,1
210,MOSSORO RN,Mossoró,city,2020-03-21,1
200,UMUARAMA PR,Umuarama,city,2020-03-21,1
173,SETE LAGOAS MG,Sete Lagoas,city,2020-03-21,1
172,SAO JOAO DEL REI MG,São João del Rei,city,2020-03-21,1
260,NOSSA SENHORA DA GLORIA SE,Nossa Senhora da Glória,city,2020-03-21,1
96,ESTANCIA VELHA RS,Estância Velha,city,2020-03-22,1
124,NAVEGANTES SC,Navegantes,city,2020-03-22,1
29,CARIACICA ES,Cariacica,city,2020-03-22,1
61,COLOMBO PR,Colombo,city,2020-03-22,1
59,CAMPO LARGO PR,Campo Largo,city,2020-03-22,1
54,OLINDA PE,Olinda,city,2020-03-22,1
51,BELO JARDIM PE,Belo Jardim,city,2020-03-22,1
46,SIDROLANDIA MS,Sidrolândia,city,2020-03-22,1
45,PONTA PORA MS,Ponta Porã,city,2020-03-22,1
38,JATAI GO,Jataí,city,2020-03-22,1
36,CATALAO GO,Catalão,city,2020-03-22,1
35,APARECIDA DE GOIANIA GO,Aparecida de Goiânia,city,2020-03-22,1
28,CACHOEIRO DE ITAPEMIRIM ES,Cachoeiro de Itapemirim,city,2020-03-22,1
123,LAGES SC,Lages,city,2020-03-22,1
24,SOBRAL CE,Sobral,city,2020-03-22,1
23,JUAZEIRO DO NORTE CE,Juazeiro do Norte,city,2020-03-22,1
22,IMPORTADOS CE,Importados,city,2020-03-22,1
21,FORTIM CE,Fortim,city,2020-03-22,1
13,ITABUNA BA,Itabuna,city,2020-03-22,1
11,CONCEICAO DO JACUIPE BA,Conceição do Jacuípe,city,2020-03-22,1
10,CAMACARI BA,Camaçari,city,2020-03-22,1
9,BARREIRAS BA,Barreiras,city,2020-03-22,1
7,MACAPA AP,Macapá,city,2020-03-22,1
64,GUAIRA PR,Guaíra,city,2020-03-22,1
67,MARINGA PR,Maringá,city,2020-03-22,1
68,PATO BRANCO PR,Pato Branco,city,2020-03-22,1
70,PONTA GROSSA PR,Ponta Grossa,city,2020-03-22,1
121,JARAGUA DO SUL SC,Jaraguá do Sul,city,2020-03-22,1
120,JAGUARUNA SC,Jaguaruna,city,2020-03-22,1
117,GRAVATAL SC,Gravatal,city,2020-03-22,1
109,VIAMAO RS,Viamão,city,2020-03-22,1
107,TAQUARA RS,Taquara,city,2020-03-22,1
105,SAO LEOPOLDO RS,São Leopoldo,city,2020-03-22,1
104,SANTO ANTONIO DA PATRULHA RS,Santo Antônio da Patrulha,city,2020-03-22,1
102,SANTA MARIA RS,Santa Maria,city,2020-03-22,1
98,FARROUPILHA RS,Farroupilha,city,2020-03-22,1
97,ESTRELA RS,Estrela,city,2020-03-22,1
1,JOAO PESSOA PB,João Pessoa,city,2020-03-23,1
94,ELDORADO DO SUL RS,Eldorado do Sul,city,2020-03-22,1
93,DOIS IRMAOS RS,Dois Irmãos,city,2020-03-22,1
92,CHARQUEADAS RS,Charqueadas,city,2020-03-22,1
90,CARLOS BARBOSA RS,Carlos Barbosa,city,2020-03-22,1
80,JI-PARANA RO,Ji-Paraná,city,2020-03-22,1
75,MIGUEL PEREIRA RJ,Miguel Pereira,city,2020-03-22,1
73,GUAPIMIRIM RJ,Guapimirim,city,2020-03-22,1
72,BARRA MANSA RJ,Barra Mansa,city,2020-03-22,1
480,VARGEM GRANDE PAULISTA SP,Vargem Grande Paulista,city,2020-03-19,1
